probe,press,accuracy,rt,threshold,score,run_num
3,3,1,0.489784002304,0.45,-1,0
2,1,0,0.428645133972,0.45,-2,0
0,0,1,0.391035079956,0.45,1,0
1,1,1,0.379635810852,0.45,1,0
0,0,1,0.429852962494,0.45,1,0
2,2,1,0.362138032913,0.45,1,0
1,1,1,0.460937976837,0.45,-1,0
2,2,1,0.367618083954,0.45,1,0
3,3,1,0.341068029404,0.45,1,0
0,0,1,0.376665115356,0.45,1,0
3,2,0,0.355304002762,0.45,-2,0
1,1,1,0.5342669487,0.45,-1,0
3,3,1,0.418575048447,0.45,1,0
0,0,1,0.436547994614,0.45,1,0
1,1,1,0.413630008698,0.45,1,0
2,2,1,0.316521883011,0.45,1,0
0,0,1,0.388770103455,0.45,1,0
2,2,1,0.346698045731,0.45,1,0
1,1,1,0.452584981918,0.45,-1,0
0,0,1,0.39041686058,0.45,1,0
3,3,1,0.434180021286,0.45,1,0
2,2,1,0.382251024246,0.45,1,0
3,3,1,0.464345932007,0.45,-1,0
1,1,1,0.452831983566,0.45,-1,0
3,3,1,0.398744821548,0.45,1,0
2,2,1,0.339323997498,0.45,1,0
1,1,1,0.471581935883,0.45,-1,0
0,0,1,0.347898006439,0.45,1,0
2,2,1,0.318414926529,0.45,1,0
0,1,0,0.490014076233,0.45,-2,0
1,1,1,0.489989995956,0.45,-1,0
3,3,1,0.383262872696,0.45,1,0
0,0,1,0.426142930984,0.45,1,0
3,3,1,0.477363109589,0.45,-1,0
1,1,1,0.423335075378,0.45,1,0
2,2,1,0.410619974136,0.45,1,0
3,3,1,0.5900349617,0.45,-1,0
0,0,1,0.451310157776,0.45,-1,0
1,1,1,0.331390142441,0.45,1,0
2,2,1,0.337291955948,0.45,1,0
1,-1,0,0.7,0.45,-2,0
0,0,1,0.477717161179,0.45,-1,0
2,2,1,0.584110975266,0.45,-1,0
0,0,1,0.525815963745,0.45,-1,0
3,3,1,0.481642961502,0.45,-1,0
1,1,1,0.348698139191,0.45,1,0
3,3,1,0.544780015945,0.45,-1,0
2,2,1,0.436925172806,0.45,1,0
3,3,1,0.45462012291,0.45,-1,0
2,2,1,0.361016988754,0.45,1,0
0,0,1,0.283306121826,0.45,1,0
1,1,1,0.304548025131,0.45,1,0
2,2,1,0.354250192642,0.45,1,0
1,1,1,0.509197950363,0.45,-1,0
0,0,1,0.408746004105,0.45,1,0
3,3,1,0.452040910721,0.45,-1,0
0,0,1,0.423035144806,0.45,1,0
2,2,1,0.300268888474,0.45,1,0
3,3,1,0.360733985901,0.45,1,0
1,1,1,0.472888946533,0.45,-1,0
3,3,1,0.422518968582,0.45,1,0
1,1,1,0.390522956848,0.45,1,0
0,0,1,0.379106998444,0.45,1,0
2,2,1,0.336117982864,0.45,1,0
1,0,0,0.363559007645,0.45,-2,0
2,2,1,0.539988994598,0.45,-1,0
0,0,1,0.400976896286,0.45,1,0
1,1,1,0.339599847794,0.45,1,0
3,3,1,0.384914875031,0.45,1,0
2,2,1,0.329979896545,0.45,1,0
3,3,1,0.456188201904,0.45,-1,0
0,0,1,0.441073894501,0.45,1,0
3,3,1,0.507405042648,0.45,-1,0
0,0,1,0.43914103508,0.45,1,0
2,2,1,0.345905065536,0.45,1,0
1,1,1,0.283852100372,0.45,1,0
2,2,1,0.415693044662,0.45,1,0
0,0,1,0.388166189194,0.45,1,0
1,1,1,0.457746982574,0.45,-1,0
3,3,1,0.435209989548,0.45,1,0
2,2,1,0.326011180878,0.45,1,0
3,3,1,0.560726881027,0.45,-1,0
1,1,1,0.510895013809,0.45,-1,0
0,0,1,0.351726055145,0.45,1,0
3,3,1,0.395873069763,0.45,1,0
1,1,1,0.367630958557,0.45,1,0
2,2,1,0.290687799454,0.45,1,0
0,0,1,0.347626924515,0.45,1,0
2,2,1,0.350354909897,0.45,1,0
1,1,1,0.34698009491,0.45,1,0
0,0,1,0.320064783096,0.45,1,0
1,1,1,0.3394780159,0.45,1,0
3,3,1,0.357841968536,0.45,1,0
2,2,1,0.362398862839,0.45,1,0
3,3,1,0.59589099884,0.45,-1,0
