probe,press,accuracy,rt,threshold,score,run_num
2,2,1,0.435753822327,0.45,1,0
3,3,1,0.395571947098,0.45,1,0
0,0,1,0.293920040131,0.45,1,0
1,1,1,0.258788108826,0.45,1,0
3,3,1,0.253154039383,0.45,1,0
1,2,0,0.238698005676,0.45,-2,0
0,0,1,0.333444833755,0.45,1,0
3,3,1,0.343257904053,0.45,1,0
2,1,0,0.281926870346,0.45,-2,0
1,1,1,0.291578054428,0.45,1,0
2,2,1,0.336884021759,0.45,1,0
0,0,1,0.33100104332,0.45,1,0
2,1,0,0.360966920853,0.45,-2,0
1,1,1,0.327892065048,0.45,1,0
3,3,1,0.356805086136,0.45,1,0
0,1,0,0.334717035294,0.45,-2,0
1,1,1,0.282977104187,0.45,1,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
