probe,press,accuracy,rt,threshold,score,run_num
2,2,1,0.407257080078,0.45,1,0
3,3,1,0.358819007874,0.45,1,0
0,0,1,0.369373083115,0.45,1,0
1,1,1,0.34231710434,0.45,1,0
3,3,1,0.379045009613,0.45,1,0
1,1,1,0.325397968292,0.45,1,0
0,0,1,0.327877998352,0.45,1,0
3,3,1,0.332736968994,0.45,1,0
2,2,1,0.318444013596,0.45,1,0
0,0,1,0.315263032913,0.45,1,0
2,2,1,0.333682060242,0.45,1,0
1,0,0,0.336223840714,0.45,-2,0
2,2,1,0.386825084686,0.45,1,0
1,1,1,0.416714906693,0.45,1,0
0,0,1,0.355638980865,0.45,1,0
3,2,0,0.326446056366,0.45,-2,0
1,1,1,0.326658964157,0.45,1,0
3,3,1,0.353846073151,0.45,1,0
0,0,1,0.309504985809,0.45,1,0
1,1,1,0.282858848572,0.45,1,0
2,2,1,0.31143116951,0.45,1,0
3,3,1,0.262904882431,0.45,1,0
2,2,1,0.337974071503,0.45,1,0
0,0,1,0.334011077881,0.45,1,0
2,2,1,0.321283102036,0.45,1,0
3,3,1,0.31933093071,0.45,1,0
1,1,1,0.346713066101,0.45,1,0
0,0,1,0.317407131195,0.45,1,0
1,1,1,0.296159029007,0.45,1,0
3,3,1,0.361023902893,0.45,1,0
0,0,1,0.327107906342,0.45,1,0
3,3,1,0.37033700943,0.45,1,0
2,2,1,0.477108001709,0.45,-1,0
0,0,1,0.47286605835,0.45,-1,0
2,2,1,0.392636060715,0.45,1,0
1,1,1,0.359853982925,0.45,1,0
2,2,1,0.37757897377,0.45,1,0
1,1,1,0.356947183609,0.45,1,0
3,3,1,0.455462932587,0.45,-1,0
0,0,1,0.339915990829,0.45,1,0
3,2,0,0.284576892853,0.45,-2,0
1,1,1,0.371150970459,0.45,1,0
0,0,1,0.310708045959,0.45,1,0
1,1,1,0.480360984802,0.45,-1,0
2,1,0,0.532837152481,0.45,-2,0
0,2,0,0.0491409301758,0.45,-2,0
2,2,1,0.681598186493,0.45,-1,0
3,3,1,0.444361925125,0.45,1,0
2,1,0,0.377936124802,0.45,-2,0
1,0,0,0.356527090073,0.45,-2,0
3,3,1,0.446598052979,0.45,1,0
0,0,1,0.347849845886,0.45,1,0
1,1,1,0.375020980835,0.45,1,0
0,1,0,0.393137931824,0.45,-2,0
3,3,1,0.397989988327,0.45,1,0
1,1,1,0.384304046631,0.45,1,0
2,2,1,0.49076795578,0.45,-1,0
0,0,1,0.383347988129,0.45,1,0
2,2,1,0.497143983841,0.45,-1,0
3,3,1,0.355224847794,0.45,1,0
2,2,1,0.382828950882,0.45,1,0
0,0,1,0.353325128555,0.45,1,0
1,1,1,0.350057840347,0.45,1,0
3,3,1,0.346601009369,0.45,1,0
1,1,1,0.41347694397,0.45,1,0
0,0,1,0.311313152313,0.45,1,0
3,2,0,0.281939983368,0.45,-2,0
2,2,1,0.357836008072,0.45,1,0
3,3,1,0.423789978027,0.45,1,0
0,0,1,0.446203947067,0.45,1,0
2,2,1,0.398464918137,0.45,1,0
