probe,press,accuracy,rt,threshold,score,run_num
2,2,1,0.397900104523,0.5,1,0
3,3,1,0.299073934555,0.5,1,0
1,1,1,0.326071023941,0.5,1,0
4,4,1,0.404515028,0.5,1,0
0,0,1,0.29187297821,0.5,1,0
4,4,1,0.458268880844,0.5,1,0
1,1,1,0.432699918747,0.5,1,0
2,2,1,0.335803031921,0.5,1,0
0,0,1,0.383831977844,0.5,1,0
3,3,1,0.327353000641,0.5,1,0
0,0,1,0.346828937531,0.5,1,0
3,3,1,0.490435123444,0.5,1,0
1,2,0,0.42484998703,0.5,-2,0
4,4,1,0.463350057602,0.5,1,0
2,2,1,0.399459123611,0.5,1,0
0,0,1,0.4805560112,0.5,1,0
4,4,1,0.379884004593,0.5,1,0
1,1,1,0.349637031555,0.5,1,0
2,2,1,0.380285024643,0.5,1,0
3,3,1,0.368376970291,0.5,1,0
0,0,1,0.304929018021,0.5,1,0
4,4,1,0.247761011124,0.5,1,0
1,1,1,0.503628015518,0.5,-1,0
3,3,1,0.398917913437,0.5,1,0
2,2,1,0.405855894089,0.5,1,0
3,3,1,0.355872869492,0.5,1,0
2,2,1,0.40389418602,0.5,1,0
0,0,1,0.379844903946,0.5,1,0
4,4,1,0.289766073227,0.5,1,0
1,1,1,0.383911848068,0.5,1,0
0,0,1,0.38399887085,0.5,1,0
2,2,1,0.412302970886,0.5,1,0
4,4,1,0.388051986694,0.5,1,0
1,1,1,0.475040912628,0.5,1,0
3,2,0,0.330790042877,0.5,-2,0
4,4,1,0.402642965317,0.5,1,0
3,2,0,0.424937963486,0.5,-2,0
0,1,0,0.439314126968,0.5,-2,0
1,1,1,0.472725152969,0.5,1,0
2,2,1,0.486564874649,0.5,1,0
0,0,1,0.525432825089,0.5,-1,0
2,2,1,0.411408901215,0.5,1,0
3,3,1,0.30610203743,0.5,1,0
4,4,1,0.322186946869,0.5,1,0
1,1,1,0.408941030502,0.5,1,0
0,0,1,0.36860203743,0.5,1,0
2,2,1,0.342195987701,0.5,1,0
4,3,0,0.362680912018,0.5,-2,0
1,1,1,0.379947900772,0.5,1,0
3,4,0,0.354615926743,0.5,-2,0
2,2,1,0.520859003067,0.5,-1,0
0,0,1,0.398530960083,0.5,1,0
4,4,1,0.365410089493,0.5,1,0
1,1,1,0.359197854996,0.5,1,0
3,3,1,0.371929883957,0.5,1,0
2,2,1,0.372539043427,0.5,1,0
3,3,1,0.347845077515,0.5,1,0
4,4,1,0.417164087296,0.5,1,0
0,0,1,0.338603973389,0.5,1,0
1,1,1,0.463374137878,0.5,1,0
3,3,1,0.421564102173,0.5,1,0
0,0,1,0.50901722908,0.5,-1,0
2,2,1,0.412158966064,0.5,1,0
4,4,1,0.348658084869,0.5,1,0
1,1,1,0.376538038254,0.5,1,0
0,0,1,0.401711940765,0.5,1,0
3,3,1,0.432104110718,0.5,1,0
2,2,1,0.391181945801,0.5,1,0
1,1,1,0.39234995842,0.5,1,0
4,4,1,0.371808052063,0.5,1,0
0,0,1,0.379368066788,0.5,1,0
1,1,1,0.475103855133,0.5,1,0
4,4,1,0.400260925293,0.5,1,0
2,2,1,0.298269987106,0.5,1,0
3,3,1,0.40012216568,0.5,1,0
4,4,1,0.352931976318,0.5,1,0
3,3,1,0.43114900589,0.5,1,0
1,0,0,0.427520036697,0.5,-2,0
2,2,1,0.545670986176,0.5,-1,0
0,0,1,0.432905912399,0.5,1,0
4,4,1,0.271863937378,0.5,1,0
1,4,0,0.20952296257,0.5,-2,0
0,0,1,0.543598890305,0.5,-1,0
2,2,1,0.376032114029,0.5,1,0
3,4,0,0.317847013474,0.5,-2,0
2,2,1,0.515208005905,0.5,-1,0
4,3,0,0.36567902565,0.5,-2,0
3,3,1,0.620428085327,0.5,-1,0
1,1,1,0.594604969025,0.5,-1,0
0,0,1,0.432816028595,0.5,1,0
4,4,1,0.320884943008,0.5,1,0
2,3,0,0.454555034637,0.5,-2,0
3,3,1,0.42044711113,0.5,1,0
0,0,1,0.388805866241,0.5,1,0
1,1,1,0.426142930984,0.5,1,0
4,4,1,0.435492992401,0.5,1,0
0,0,1,0.386544942856,0.5,1,0
2,2,1,0.341653823853,0.5,1,0
1,1,1,0.352066993713,0.5,1,0
3,3,1,0.438040018082,0.5,1,0
0,0,1,0.41047000885,0.5,1,0
3,3,1,0.349314928055,0.5,1,0
4,4,1,0.402858972549,0.5,1,0
2,2,1,0.472450971603,0.5,1,0
1,1,1,0.410460948944,0.5,1,0
0,0,1,0.343909978867,0.5,1,0
3,3,1,0.319170951843,0.5,1,0
2,2,1,0.310154914856,0.5,1,0
4,4,1,0.346712112427,0.5,1,0
1,1,1,0.369202136993,0.5,1,0
2,2,1,0.346920013428,0.5,1,0
1,2,0,0.337983131409,0.5,-2,0
0,0,1,0.472865104675,0.5,1,0
4,3,0,0.416602134705,0.5,-2,0
3,3,1,0.735034942627,0.5,-1,0
2,2,1,0.475864171982,0.5,1,0
3,2,0,0.395971059799,0.5,-2,0
1,1,1,0.426141023636,0.5,1,0
0,0,1,0.287807941437,0.5,1,0
4,4,1,0.351578950882,0.5,1,0
2,3,0,0.421842813492,0.5,-2,0
3,3,1,0.493166923523,0.5,1,0
0,0,1,0.495480060577,0.5,1,0
1,1,1,0.530672073364,0.5,-1,0
4,4,1,0.461201906204,0.5,1,0
3,3,1,0.424848079681,0.5,1,0
4,4,1,0.426999092102,0.5,1,0
1,1,1,0.446523189545,0.5,1,0
0,0,1,0.360685825348,0.5,1,0
2,2,1,0.395201921463,0.5,1,0
4,4,1,0.371037006378,0.5,1,0
2,2,1,0.348603963852,0.5,1,0
0,0,1,0.347903013229,0.5,1,0
3,3,1,0.499580144882,0.5,1,0
1,1,1,0.337548971176,0.5,1,0
2,2,1,0.310791969299,0.5,1,0
3,3,1,0.429239988327,0.5,1,0
1,1,1,0.477389097214,0.5,1,0
4,4,1,0.410611152649,0.5,1,0
0,0,1,0.36230802536,0.5,1,0
2,2,1,0.353416204453,0.5,1,0
3,2,0,0.312969923019,0.5,-2,0
0,0,1,0.359060049057,0.5,1,0
4,4,1,0.288666963577,0.5,1,0
1,1,1,0.413343906403,0.5,1,0
3,3,1,0.314292907715,0.5,1,0
1,0,0,0.444092035294,0.5,-2,0
0,0,1,0.49845290184,0.5,1,0
4,4,1,0.499644994736,0.5,1,0
2,2,1,0.458362102509,0.5,1,0
4,-1,0,0.8,0.5,-2,0
2,2,1,0.628283977509,0.5,-1,0
1,1,1,0.581735134125,0.5,-1,0
0,0,1,0.373123884201,0.5,1,0
3,3,1,0.378111124039,0.5,1,0
4,4,1,0.354686021805,0.5,1,0
1,1,1,0.458010911942,0.5,1,0
2,2,1,0.464058876038,0.5,1,0
0,0,1,0.422157049179,0.5,1,0
3,3,1,0.339517831802,0.5,1,0
2,2,1,0.580947875977,0.5,-1,0
0,0,1,0.549607992172,0.5,-1,0
3,3,1,0.412261962891,0.5,1,0
1,1,1,0.400014162064,0.5,1,0
4,4,1,0.392673969269,0.5,1,0
3,3,1,0.481281995773,0.5,1,0
2,2,1,0.320568084717,0.5,1,0
0,0,1,0.501392126083,0.5,-1,0
1,1,1,0.414634943008,0.5,1,0
4,4,1,0.404446840286,0.5,1,0
2,2,1,0.332140207291,0.5,1,0
4,4,1,0.330173015594,0.5,1,0
1,1,1,0.384490013123,0.5,1,0
0,0,1,0.29488992691,0.5,1,0
3,3,1,0.375281095505,0.5,1,0
2,2,1,0.50933599472,0.5,-1,0
4,4,1,0.380887985229,0.5,1,0
0,0,1,0.412281990051,0.5,1,0
3,4,0,0.36243391037,0.5,-2,0
1,1,1,0.392755031586,0.5,1,0
0,0,1,0.416693925858,0.5,1,0
1,1,1,0.424157142639,0.5,1,0
2,2,1,0.420595884323,0.5,1,0
4,4,1,0.426378011703,0.5,1,0
3,3,1,0.466192007065,0.5,1,0
1,1,1,0.393545150757,0.5,1,0
4,3,0,0.425114870071,0.5,-2,0
3,3,1,0.511119842529,0.5,-1,0
0,0,1,0.424215078354,0.5,1,0
2,2,1,0.69349193573,0.5,-1,0
1,1,1,0.63015794754,0.5,-1,0
2,2,1,0.484970092773,0.5,1,0
4,4,1,0.441576004028,0.5,1,0
3,3,1,0.68047785759,0.5,-1,0
0,0,1,0.472150087357,0.5,1,0
1,1,1,0.400131225586,0.5,1,0
3,3,1,0.382723093033,0.5,1,0
4,4,1,0.286730051041,0.5,1,0
2,2,1,0.333139896393,0.5,1,0
0,0,1,0.33099603653,0.5,1,0
2,2,1,0.387527942657,0.5,1,0
1,1,1,0.46525812149,0.5,1,0
0,0,1,0.384052038193,0.5,1,0
4,4,1,0.461922883987,0.5,1,0
3,3,1,0.486530065536,0.5,1,0
4,4,1,0.403807878494,0.5,1,0
0,1,0,0.275336027145,0.5,-2,0
2,2,1,0.324856042862,0.5,1,0
3,3,1,0.274588108063,0.5,1,0
1,1,1,0.463485956192,0.5,1,0
3,3,1,0.449012994766,0.5,1,0
1,1,1,0.440805912018,0.5,1,0
2,2,1,0.453750133514,0.5,1,0
0,1,0,0.354517936707,0.5,-2,0
4,4,1,0.356061935425,0.5,1,0
1,2,0,0.412503004074,0.5,-2,0
3,2,0,0.393494844437,0.5,-2,0
2,2,1,0.464709997177,0.5,1,0
4,4,1,0.472098112106,0.5,1,0
0,0,1,0.285784006119,0.5,1,0
1,1,1,0.309708118439,0.5,1,0
4,4,1,0.469649076462,0.5,1,0
0,0,1,0.387584924698,0.5,1,0
3,3,1,0.451168060303,0.5,1,0
2,2,1,0.483006000519,0.5,1,0
0,0,1,0.464239120483,0.5,1,0
1,1,1,0.52862405777,0.5,-1,0
2,2,1,0.438395023346,0.5,1,0
3,3,1,0.42839217186,0.5,1,0
4,4,1,0.386126995087,0.5,1,0
3,2,0,0.418394088745,0.5,-2,0
2,2,1,0.434975862503,0.5,1,0
4,3,0,0.450187206268,0.5,-2,0
1,1,1,0.632436990738,0.5,-1,0
0,0,1,0.485306024551,0.5,1,0
2,2,1,0.454459905624,0.5,1,0
1,1,1,0.474973917007,0.5,1,0
3,4,0,0.34539604187,0.5,-2,0
0,0,1,0.444041967392,0.5,1,0
4,4,1,0.510968923569,0.5,-1,0
0,0,1,0.498208045959,0.5,1,0
2,2,1,0.318653106689,0.5,1,0
1,1,1,0.503177881241,0.5,-1,0
4,4,1,0.501353025436,0.5,-1,0
3,3,1,0.53068113327,0.5,-1,0
4,4,1,0.596385002136,0.5,-1,0
1,1,1,0.687860965729,0.5,-1,0
3,3,1,0.552917003632,0.5,-1,0
2,2,1,0.390578985214,0.5,1,0
0,0,1,0.295565843582,0.5,1,0
4,3,0,0.363565921783,0.5,-2,0
1,1,1,0.405222177505,0.5,1,0
3,3,1,0.429183959961,0.5,1,0
0,0,1,0.401437044144,0.5,1,0
2,2,1,0.481876850128,0.5,1,0
1,1,1,0.385697841644,0.5,1,0
4,4,1,0.399958848953,0.5,1,0
2,2,1,0.398698091507,0.5,1,0
3,3,1,0.53174495697,0.5,-1,0
0,0,1,0.342268228531,0.5,1,0
4,4,1,0.332740068436,0.5,1,0
0,0,1,0.403992891312,0.5,1,0
3,3,1,0.480710029602,0.5,1,0
1,1,1,0.293822050095,0.5,1,0
2,2,1,0.28435087204,0.5,1,0
1,1,1,0.605333089828,0.5,-1,0
4,4,1,0.491666078568,0.5,1,0
3,4,0,0.43655705452,0.5,-2,0
0,0,1,0.378845930099,0.5,1,0
2,2,1,0.303946971893,0.5,1,0
1,1,1,0.626040935516,0.5,-1,0
2,2,1,0.42934513092,0.5,1,0
4,3,0,0.380517959595,0.5,-2,0
0,0,1,0.470280885696,0.5,1,0
3,3,1,0.420006990433,0.5,1,0
2,2,1,0.44889998436,0.5,1,0
0,0,1,0.402740001678,0.5,1,0
3,3,1,0.407501935959,0.5,1,0
4,4,1,0.454277038574,0.5,1,0
1,1,1,0.430089950562,0.5,1,0
0,0,1,0.390487909317,0.5,1,0
1,1,1,0.454457044601,0.5,1,0
4,4,1,0.380594015121,0.5,1,0
2,2,1,0.425102949142,0.5,1,0
3,3,1,0.729451179504,0.5,-1,0
2,-1,0,0.8,0.5,-2,0
1,1,1,0.693430185318,0.5,-1,0
0,0,1,0.422621011734,0.5,1,0
4,4,1,0.300041913986,0.5,1,0
3,3,1,0.290645122528,0.5,1,0
2,2,1,0.267910957336,0.5,1,0
4,4,1,0.377697944641,0.5,1,0
0,0,1,0.450152873993,0.5,1,0
1,1,1,0.446808815002,0.5,1,0
3,3,1,0.592799186707,0.5,-1,0
0,0,1,0.462070941925,0.5,1,0
2,2,1,0.414488077164,0.5,1,0
3,3,1,0.460979938507,0.5,1,0
4,4,1,0.444461107254,0.5,1,0
1,1,1,0.399828195572,0.5,1,0
3,3,1,0.42529296875,0.47839217186,1,1
2,2,1,0.545521020889,0.455855894089,-1,1
1,1,1,0.296164035797,0.378116440773,1,1
4,3,0,0.364432096481,0.446316409111,-2,1
0,0,1,0.28315114975,0.451437044144,1,1
4,4,1,0.404450178146,0.446316409111,1,1
2,2,1,0.290761947632,0.455855894089,1,1
3,4,0,0.371136903763,0.47839217186,-2,1
