trial_time,force_0,force_1,force_2,force_3,press_type,score,target_finger,trial,run
0.197,0.314978357772,0.244491161488,1.20023184849,0.73499083729,miss,0,2,0,0
1.085,0.319415151795,0.324000475847,2.87206838623,0.31492245682,hit,1,2,0,0
1.727,0.440750656547,0.517193555789,0.596850073928,0.364688380794,hit,1,2,0,0
3.16,0.447557366831,0.504659119032,2.15002183537,0.331050013116,hit,1,2,0,0
3.757,0.513801161454,0.44862130355,0.951967018567,0.339687651241,hit,1,2,0,0
4.786,0.429773991402,0.44334872433,2.59996612249,0.244523923043,hit,1,2,0,0
5.2,0.442463673639,0.402388275322,0.956649088742,0.229699975899,hit,1,2,0,0
5.892,0.441714323792,0.433087540134,2.63887616637,0.242835033776,hit,1,2,0,0
6.743,0.47918316983,0.396483273247,1.01859859849,0.271795582441,hit,1,2,0,0
7.359,0.47311502486,0.39710128164,2.53486024389,0.231685993582,hit,1,2,0,0
8.07,0.47162909906,0.374356482442,0.905570263836,0.21026074939,hit,1,2,0,0
8.72,0.453496066418,0.362501354877,2.62198595516,0.208201549423,hit,1,2,0,0
9.627,0.520132706505,0.32684495109,0.854685594075,0.544426169644,hit,1,2,0,0
0.0330000000004,0.902160959698,0.504669349316,0.685972340452,1.21496080157,miss,0,3,1,0
0.353,0.848384201311,0.415977558795,0.829786333876,2.19759680826,hit,1,3,1,0
1.047,0.862014715896,0.431094328163,0.397697971962,0.586805014047,hit,1,3,1,0
1.923,0.860184840201,0.352177894414,0.690844358666,2.38650397312,hit,1,3,1,0
2.571,0.823515619868,0.384402266785,0.387683044496,0.816580265742,hit,1,3,1,0
3.771,0.740368883169,0.319527532719,0.625839990244,2.39824790122,hit,1,3,1,0
4.405,0.784613096245,0.374906113145,0.410080792424,0.841619135456,hit,1,3,1,0
5.143,0.792570832723,0.329914294765,0.628961216858,2.27162971238,hit,1,3,1,0
5.809,0.837428859107,0.385783255017,0.504103046808,0.903863842398,hit,1,3,1,0
6.737,0.855398344947,0.369144557962,0.711413863893,2.48227605901,hit,1,3,1,0
7.404,0.855270239808,0.391157502816,0.398710539832,0.800288437199,hit,1,3,1,0
8.137,0.849149909908,0.371896812817,0.594948994998,2.33613969879,hit,1,3,1,0
8.834,0.839715750248,0.388510050436,0.396082659968,0.671695075515,hit,1,3,1,0
9.714,0.729882167292,0.324613975223,0.565548168503,2.42999262954,hit,1,3,1,0
0.265000000001,0.514130781459,1.22421935008,0.309776464932,0.355123948755,miss,0,1,2,0
0.442000000001,0.535064919667,1.99173237939,0.27581457781,0.340205045849,miss,0,1,2,0
1.33,0.650994767325,0.194608256625,0.418504156119,0.470453637782,miss,0,1,2,0
2.162,0.631446779602,2.30165044828,0.279625923257,0.330240164215,hit,1,1,2,0
2.712,0.75185681716,0.396793889643,0.418278698757,0.424762148115,hit,1,1,2,0
3.474,0.580372298171,2.53581034122,0.261501247757,0.312657502844,hit,1,1,2,0
3.959,0.674616714543,0.484495211157,0.393846849537,0.38190989849,hit,1,1,2,0
4.602,0.622290025999,1.99983975172,0.302707320296,0.341322458207,miss,0,1,2,0
5.22,0.735400108185,0.199338739947,0.405594948513,0.438431973076,miss,0,1,2,0
6.027,0.682174491407,2.48873568108,0.244501422556,0.272274496932,hit,1,1,2,0
6.536,0.766205308588,1.10171243147,0.349527562137,0.309985780055,hit,1,1,2,0
7.374,0.700923737472,2.65299577826,0.246498391373,0.247101686841,hit,1,1,2,0
7.898,0.786563567854,0.799823190312,0.435253406637,0.390390707656,hit,1,1,2,0
9.006,0.611028047988,2.6220866933,0.302867589238,0.268901101145,hit,1,1,2,0
9.773,0.733627297134,0.737895476259,0.447465151332,0.360737773182,hit,1,1,2,0
0.435000000001,0.1956551931,0.534846528355,0.477770100233,0.338780251849,miss,0,0,3,0
1.349,2.59956787952,0.586297873651,0.414755234639,0.250918220958,hit,1,0,3,0
1.977,0.745311022408,0.602806223965,0.484465123666,0.243841462142,hit,1,0,3,0
2.763,2.38819315601,0.543143854497,0.430255318326,0.214571083528,hit,1,0,3,0
3.515,0.836750229125,0.565048086197,0.460722683416,0.225602848612,hit,1,0,3,0
4.507,2.2422848449,0.490997652554,0.35706975866,0.511984545433,hit,1,0,3,0
5.285,0.591524710651,0.611692812562,0.487885569141,0.434352029407,hit,1,0,3,0
6.105,2.29892277112,0.565314478594,0.423137571471,0.372647927857,hit,1,0,3,0
6.979,0.604123570863,0.621993284895,0.521469213358,0.511798403326,hit,1,0,3,0
