trial_time,force_0,force_1,force_2,force_3,press_type,score,target_finger,trial,run
0.199,0.320280305838,0.501599711953,0.688382905742,0.302388855453,hit,1,2,0,0
0.818,0.0353502510413,0.135354673639,1.99420345529,0.3508364445,miss,0,2,0,0
1.375,0.289831739612,0.472253447286,0.658066037779,0.28612317193,hit,1,2,0,0
2.743,0.248962455512,0.381796500195,2.45530473531,0.466293049574,hit,1,2,0,0
3.354,0.480982691844,0.787211265668,0.972693375573,0.27065710841,hit,1,2,0,0
3.9,0.358057324378,0.572385931038,2.11027852224,0.331271874226,hit,1,2,0,0
4.519,0.447204203699,0.67045093953,1.15289005211,0.240937803793,hit,1,2,0,0
5.403,0.34005580567,0.600747083132,2.32746153226,0.363688065772,hit,1,2,0,0
5.884,0.459972184779,0.62717914744,1.01448377911,0.251738367712,hit,1,2,0,0
6.338,0.339927733033,0.65847129423,2.32598544487,0.33133786622,hit,1,2,0,0
6.815,0.512064129435,0.663676057865,0.985368634265,0.26573418869,hit,1,2,0,0
7.709,0.348708765371,0.624342785441,2.18839371294,0.4237711115,hit,1,2,0,0
8.11,0.46703506658,0.563153071238,1.02362412111,0.246997859276,hit,1,2,0,0
8.561,0.369054091568,0.639983904284,2.03697369284,0.305402209167,hit,1,2,0,0
9.022,0.510862864542,0.538905422695,0.938427589208,0.262433079438,hit,1,2,0,0
9.885,0.408494109869,0.668371580064,2.3874476661,0.419266431354,hit,1,2,0,0
0.323,0.520637880871,0.533420913422,1.12990909963,0.519015384907,hit,1,3,1,0
1.294,0.53261161263,0.407987303573,1.24619695955,2.34068832266,hit,1,3,1,0
1.717,0.55032821511,0.492071885692,1.08830060322,0.706364762901,hit,1,3,1,0
2.159,0.531189310878,0.403372666728,1.17996821249,2.14773865032,hit,1,3,1,0
2.574,0.591240327344,0.478078945757,1.04058193473,0.739992701483,hit,1,3,1,0
3.315,0.579690815036,0.443491185204,1.2265957767,2.22588904872,hit,1,3,1,0
3.719,0.610401640141,0.48633169549,1.07517542922,1.04262555802,hit,1,3,1,0
4.444,0.56105386404,0.392811686282,1.15746501673,2.16825778413,hit,1,3,1,0
4.785,0.575673360945,0.448339411158,1.06158498521,1.20061406834,miss,0,3,1,0
5.348,0.559694342877,0.405223476565,1.139502343,2.06165469995,hit,1,3,1,0
5.869,0.602977091243,0.465926250754,1.14664192465,1.09939341241,hit,1,3,1,0
6.665,0.61613113071,0.39548895963,1.21172316138,2.16799951467,hit,1,3,1,0
7.196,0.610469680037,0.418758427136,1.04202232086,1.08666866117,hit,1,3,1,0
8.148,0.572984397847,0.331773191328,1.05361590791,2.20589882488,hit,1,3,1,0
8.523,0.607814069434,0.436249985153,0.994458750895,0.796100361014,hit,1,3,1,0
8.877,0.590020524332,0.365918859293,1.1158280851,2.32862643873,hit,1,3,1,0
9.301,0.638692159609,0.43273773313,0.852977166076,0.923258393418,hit,1,3,1,0
9.732,0.619012402669,0.390568274428,1.13102782677,2.37914079909,hit,1,3,1,0
0.239,0.39002151821,0.701792184503,0.433573077652,0.308100972605,hit,1,1,2,0
0.858,0.262742822015,2.06118736483,0.36172241745,0.23835332086,hit,1,1,2,0
1.305,0.402040421337,0.962311056683,0.340413065057,0.326986521756,hit,1,1,2,0
1.773,0.345545544791,2.15643778968,0.343061451029,0.248836492355,hit,1,1,2,0
2.143,0.436206120574,1.03139106773,0.370947491999,0.332093100076,hit,1,1,2,0
2.609,0.443079187744,2.01034056694,0.366164390672,0.293859261332,hit,1,1,2,0
3.116,0.518381866039,0.860603617758,0.362371571681,0.359041755455,hit,1,1,2,0
3.619,0.477164292709,2.26029672897,0.333407190171,0.262013348792,hit,1,1,2,0
3.955,0.529629867334,1.11711584497,0.352253719934,0.328948570534,hit,1,1,2,0
4.414,0.48813162012,2.00516367739,0.35288479232,0.274741995433,hit,1,1,2,0
4.921,0.493256321938,1.08290898854,0.346848443329,0.316748591082,hit,1,1,2,0
5.422,0.43381085589,2.21322139588,0.338015994481,0.241966931464,hit,1,1,2,0
5.848,0.470290498434,1.08953112994,0.339055976042,0.306510082402,hit,1,1,2,0
6.228,0.46273361095,2.1853906788,0.369820712855,0.265217253124,hit,1,1,2,0
6.62,0.51575258484,1.0822889705,0.35848337241,0.350814825675,hit,1,1,2,0
7.079,0.48009530016,2.10785168953,0.365350915236,0.294435989977,hit,1,1,2,0
7.414,0.510204122422,1.20167922453,0.347866190953,0.31055588865,miss,0,1,2,0
7.93,0.450098374068,2.30390297936,0.338503967755,0.224307182205,hit,1,1,2,0
8.488,0.464897317868,1.17581773148,0.339234873594,0.278116902337,hit,1,1,2,0
9.007,0.445524409597,2.08269622998,0.370164800997,0.240623317494,hit,1,1,2,0
9.267,0.455435028219,1.20497654914,0.369008921123,0.284758541637,miss,0,1,2,0
9.814,0.431476351938,2.22877256758,0.368370937697,0.251284675489,hit,1,1,2,0
0.199,0.689446935295,0.669030874007,0.458197885036,0.370982939888,hit,1,0,3,0
0.734,1.99274609436,0.441442266138,0.356677345034,0.305686250088,miss,0,0,3,0
1.101,0.635914246954,0.611982124287,0.452528407681,0.363755173829,hit,1,0,3,0
1.824,1.96351907789,0.473196841979,0.325589195491,0.290536500563,miss,0,0,3,0
2.271,0.80898564257,0.515758903578,0.410895732045,0.365238028739,hit,1,0,3,0
3.585,2.12191531337,0.408271967185,0.361331892625,0.328952280205,hit,1,0,3,0
4.473,0.925435209458,0.601329687104,0.457993071146,0.416717713446,hit,1,0,3,0
4.961,2.17269717697,0.423633948315,0.334685713874,0.347669483556,hit,1,0,3,0
5.302,0.97401534675,0.546419523826,0.426965163412,0.414739502661,hit,1,0,3,0
5.75,2.15416447596,0.421765748218,0.347381270409,0.367224811833,hit,1,0,3,0
6.209,0.991616865685,0.538607747105,0.41346785851,0.458040252519,hit,1,0,3,0
6.742,2.35867497116,0.372096329375,0.299924624453,0.375425439516,hit,1,0,3,0
7.114,1.05187291693,0.494259755684,0.392858079434,0.453547364025,hit,1,0,3,0
7.424,2.50938661251,0.367742324159,0.310143838817,0.409514825257,hit,1,0,3,0
7.848,1.13078499762,0.479466108733,0.347473852477,0.469401508485,hit,1,0,3,0
8.199,2.34170743675,0.382358290191,0.287322420925,0.408932703473,hit,1,0,3,0
8.562,1.02088516059,0.471547452803,0.364069910922,0.470764138706,hit,1,0,3,0
9.002,2.05397654368,0.353715762766,0.284655498494,0.389661801557,hit,1,0,3,0
9.284,0.947523228616,0.415081803201,0.378629850443,0.455459274132,hit,1,0,3,0
9.729,2.15453135747,0.378429545482,0.335425538518,0.40164986245,hit,1,0,3,0
0.128,0.191454762104,0.548055359429,0.46313121616,0.471224619313,miss,0,0,4,0
0.792,1.99901897405,0.448761485897,0.357862267021,0.416650954659,miss,0,0,4,0
1.235,0.740438399448,0.51511011643,0.417292877093,0.464322781488,hit,1,0,4,0
1.672,2.07692489893,0.355285295071,0.358924388255,0.428179258614,hit,1,0,4,0
1.999,0.523761491563,0.497657371548,0.430726842492,0.493221420419,hit,1,0,4,0
2.478,2.01931973058,0.328172126015,0.333816365083,0.43649321425,hit,1,0,4,0
2.795,0.690644153274,0.477706871593,0.414709583781,0.479390423118,hit,1,0,4,0
3.253,2.29976791345,0.325673619979,0.301790081985,0.404016594352,hit,1,0,4,0
3.649,0.821881570059,0.447236582285,0.395164589629,0.452602444403,hit,1,0,4,0
4.184,2.01622362635,0.384419032026,0.328363616523,0.432055669668,hit,1,0,4,0
4.5,0.540950113944,0.486588241182,0.429981750151,0.491252272812,hit,1,0,4,0
5.0,2.08688170051,0.332564285204,0.304807348863,0.413115827706,hit,1,0,4,0
5.368,1.04797293068,0.400545115066,0.353965825687,0.481018718763,hit,1,0,4,0
6.361,1.95715278699,0.303366466283,0.33268591485,0.420259984922,miss,0,0,4,0
6.634,0.733192310681,0.41492475726,0.392067901726,0.47558342181,hit,1,0,4,0
6.999,2.45775220055,0.313926426529,0.29263873386,0.405463867586,hit,1,0,4,0
7.368,0.87789179188,0.441020361127,0.406449353028,0.477768913792,hit,1,0,4,0
7.793,2.33073860101,0.343127003974,0.340940594381,0.440089640516,hit,1,0,4,0
8.101,0.783488874992,0.437693076034,0.402850904335,0.50409873697,hit,1,0,4,0
8.523,2.15303523075,0.34383265231,0.33335448425,0.427966523283,hit,1,0,4,0
8.916,0.703360864706,0.488201789816,0.400204019044,0.48721658999,hit,1,0,4,0
9.308,2.26437013813,0.355726326359,0.295268289098,0.385109880115,hit,1,0,4,0
9.667,0.756604695641,0.471671129543,0.383333886305,0.45192346778,hit,1,0,4,0
0.0900000000006,0.462663639163,0.400424687328,0.605816351694,1.21647880533,miss,0,3,5,0
0.841000000001,0.513995088756,0.271179224701,0.68269386334,2.17014981561,hit,1,3,5,0
1.123,0.497862417621,0.409371455962,0.524815657651,0.566877109162,hit,1,3,5,0
1.5,0.537893580765,0.2685764532,0.687775727054,1.99743306817,miss,0,3,5,0
1.985,0.495225552301,0.395467285888,0.504173283346,0.574154269108,hit,1,3,5,0
2.47,0.471916069454,0.275204204644,0.659661099811,1.98993869475,miss,0,3,5,0
2.74,0.466297157649,0.347431653147,0.412758907586,0.637925040256,hit,1,3,5,0
