trial_time,force_0,force_1,force_2,force_3,press_type,score,target_finger,trial,run
0.194,0.0819252422952,0.245253945444,0.305484412149,0.447135177588,off,0,2,0,0
2.645,0.0330669466974,0.295536928615,2.48439131948,0.26561992294,off,0,2,0,0
3.04,0.0899592546647,0.203436421309,0.283832137821,0.284700613604,off,0,2,0,0
3.748,0.0401927915836,0.411420753935,3.00549252443,0.173195782799,miss,0,2,0,0
4.2,0.0470058547537,0.129943880249,0.266179602717,0.239130410911,off,0,2,0,0
5.281,0.0312045609799,0.0768585543951,2.14019455523,0.287924983269,off,0,2,0,0
5.543,0.0407498266497,0.0709354299392,0.35922477717,0.23116967257,off,0,2,0,0
6.294,0.0241652934525,0.0752147589368,2.4660139298,0.265284843735,off,0,2,0,0
6.909,0.0233812382956,0.0737150341903,0.484536520386,0.288658087296,off,0,2,0,0
7.576,0.0179523206859,0.0799676714691,2.25447023024,0.339932421748,off,0,2,0,0
8.146,0.02538993232,0.0728891739691,0.38277361385,0.267124437221,off,0,2,0,0
0.584,0.586654768756,0.295285583649,0.391189731406,0.224718097192,hit,1,3,1,0
1.099,0.34726729111,0.248036938282,0.612032936196,3.06967466507,miss,0,3,1,0
1.642,0.280610987231,0.212677765881,0.387245591777,0.694992845523,hit,1,3,1,0
2.047,0.204182403694,0.20268517285,0.462477877907,3.01212759667,miss,0,3,1,0
2.556,0.196503539448,0.200978061442,0.36482000816,0.321046088685,off,0,3,1,0
3.383,0.386838584732,0.268656155108,0.863164526648,3.03326368407,miss,0,3,1,0
3.781,0.211267558402,0.179232831314,0.285319990264,0.289741394452,off,0,3,1,0
4.248,0.283518532979,0.14446075864,0.739574705519,1.99102746305,miss,0,3,1,0
4.955,0.201569320726,0.184064074577,0.410878014521,0.285723661412,off,0,3,1,0
5.806,0.119100716827,0.147494182022,0.394901849186,3.02334519691,miss,0,3,1,0
6.316,0.177170852971,0.150355380747,0.365328989599,0.305726364532,off,0,3,1,0
7.611,0.167680335422,0.234003010062,0.658665883172,2.94663823022,off,0,3,1,0
7.968,0.22310281323,0.272568402046,0.448805332111,0.394352821513,hit,1,3,1,0
9.706,0.180311196804,0.204040576945,0.468622045153,3.02164222796,miss,0,3,1,0
0.3,0.116917625189,0.587405431747,0.169152956632,1.670909532,off,0,1,2,0
2.621,0.138597152302,3.01722665694,0.355743229114,0.285622108234,miss,0,1,2,0
3.203,0.163758797773,0.726720919646,0.361148730993,0.303731110648,off,0,1,2,0
3.988,0.152461135319,2.22164903553,0.386202327768,0.235696913984,off,0,1,2,0
4.627,0.153897985032,0.663798800137,0.366091163611,0.293881497428,off,0,1,2,0
5.452,0.194514987871,2.43617803741,0.451462553856,0.238885101865,off,0,1,2,0
5.985,0.174284332769,0.672261993125,0.393939513312,0.27287380303,off,0,1,2,0
6.518,0.165122215324,1.98901206844,0.410051222299,0.243148503747,miss,0,1,2,0
7.046,0.1837909747,0.60570245408,0.375509104549,0.278475380914,off,0,1,2,0
8.703,0.330214549258,2.18121876812,0.560679329146,0.404544606858,hit,1,1,2,0
9.352,0.284541560909,0.753361668796,0.542045202856,0.458119553318,hit,1,1,2,0
9.913,0.307597393284,2.17350791723,0.631869532826,0.396476795811,hit,1,1,2,0
0.196000000001,0.350035595603,0.588550342843,0.607468588684,0.393399088525,hit,1,0,3,0
