trial_time,force_0,force_1,force_2,force_3,press_type,score,target_finger,trial,run
0.203,0.399945701734,0.295707215662,0.237001399332,0.331359086966,hit,1,2,0,0
1.06,0.267504914716,0.122233695649,1.98369530219,0.360744196402,miss,0,2,0,0
1.346,0.388441193446,0.244275604266,0.307852644492,0.28929304181,hit,1,2,0,0
2.084,0.229620788246,0.244376939491,1.99645810616,0.311070034291,miss,0,2,0,0
2.343,0.306693104879,0.174470223087,0.524928679393,0.315775527564,off,0,2,0,0
3.143,0.250348957133,0.0391225463325,1.93205551805,0.332170985846,miss,0,2,0,0
3.391,0.338286637968,0.0218007467675,0.536364006497,0.323901814648,off,0,2,0,0
4.221,0.154670829863,-0.00947573231778,1.98437511567,0.259217614514,miss,0,2,0,0
4.478,0.272273966451,0.133256341683,0.462062069278,0.253676033578,off,0,2,0,0
5.186,0.122039424156,0.0284054338523,3.03007815873,0.231958969382,miss,0,2,0,0
5.721,0.293775914182,0.33782879385,0.514389165144,0.246561861073,hit,1,2,0,0
6.424,0.265466318009,0.178686976815,3.00092845394,0.33824683274,miss,0,2,0,0
6.917,0.300053307776,0.176084982213,0.77804559123,0.318826533147,off,0,2,0,0
7.648,0.26979806567,0.220443130761,2.81574902292,0.394528645644,hit,1,2,0,0
8.008,0.308442328591,0.167393323161,0.756830662031,0.272624852508,off,0,2,0,0
8.737,0.385534017955,0.441585648325,3.09952738637,0.460477533122,miss,0,2,0,0
9.214,0.457367151929,0.33222638886,0.793838763249,0.390754822417,hit,1,2,0,0
9.96,0.475606248402,0.581345817917,2.51475085835,0.430058394729,hit,1,2,0,0
0.0270000000003,0.440639626839,0.497092179982,0.525794253938,0.193255839451,miss,0,3,1,0
0.933,0.438481304434,0.341966447956,0.983505661089,2.18311292427,hit,1,3,1,0
1.386,0.454423330518,0.412398950972,0.487607190928,0.500015547814,hit,1,3,1,0
1.913,0.575078444986,0.364348779044,1.084286603,3.00049626186,miss,0,3,1,0
2.383,0.712233239764,0.517716707968,0.57197963652,0.239770674434,hit,1,3,1,0
2.904,0.707519233645,0.438045256605,1.13486344066,2.40163593672,hit,1,3,1,0
3.206,0.720870894061,0.569043379966,0.607460074528,0.324880602713,hit,1,3,1,0
3.712,0.716857472776,0.438735565408,1.30772928164,3.00738229069,miss,0,3,1,0
4.059,0.673185930294,0.511863053549,0.686376186879,0.504879979621,hit,1,3,1,0
4.621,0.613288889567,0.451743316598,1.04612368793,2.28993601883,hit,1,3,1,0
4.929,0.560307330942,0.494224426969,0.571334726999,0.692828458692,hit,1,3,1,0
5.513,0.475814203997,0.410869182743,1.04209367611,2.33800530338,hit,1,3,1,0
5.844,0.514453164495,0.533631685976,0.705641996732,0.528972406809,hit,1,3,1,0
6.318,0.417993555036,0.323966819229,0.930403889118,2.61545214219,hit,1,3,1,0
6.655,0.573220233074,0.562697043134,0.636925423196,0.342894852532,hit,1,3,1,0
7.092,0.588068681162,0.467582887757,1.05388608524,2.32846743653,hit,1,3,1,0
7.411,0.620108919038,0.554129919794,0.638874532262,0.421457936333,hit,1,3,1,0
7.835,0.600985540705,0.467945129265,1.02937309758,2.11707359767,hit,1,3,1,0
8.133,0.607036881119,0.544219615996,0.691009652963,0.50151593401,hit,1,3,1,0
8.656,0.558106681997,0.510714717878,1.05157452224,2.09732456917,hit,1,3,1,0
8.958,0.565603216682,0.591555746908,0.658666035412,0.539063600732,hit,1,3,1,0
9.453,0.459639660861,0.442590388746,1.23443130742,2.67729179839,hit,1,3,1,0
9.751,0.511924907866,0.595852195236,0.670207841701,0.392858295173,hit,1,3,1,0
0.201000000001,0.374173951646,0.593201374329,0.493847612068,0.360904014572,hit,1,1,2,0
0.664000000001,0.38720580223,1.99816587578,0.498996426028,0.364364835243,miss,0,1,2,0
1.098,0.373061929398,0.442249283067,0.477452189912,0.338528889665,hit,1,1,2,0
1.451,0.455759758682,1.98833315954,0.527307434895,0.269482648164,miss,0,1,2,0
1.746,0.418223582614,0.45000472757,0.356505750851,0.28096135462,hit,1,1,2,0
2.086,0.417453640619,2.45692423966,0.458152567277,0.23882097881,hit,1,1,2,0
2.376,0.441785164092,0.549847987067,0.418850825762,0.305242851746,hit,1,1,2,0
2.7,0.684536587753,2.57997529582,0.449869739145,0.25490326855,hit,1,1,2,0
2.983,0.570802845898,0.871703887229,0.427858815956,0.300374670864,hit,1,1,2,0
3.224,0.604246041239,3.02223090537,0.50448110134,0.266530780769,miss,0,1,2,0
3.615,0.565170686129,0.830511747347,0.454686752705,0.312004274904,hit,1,1,2,0
3.915,0.695415305041,2.73192937245,0.547057508703,0.305655220994,hit,1,1,2,0
4.273,0.626612941439,0.330222247898,0.461999576538,0.334130105084,hit,1,1,2,0
4.732,0.722437878455,2.25395716121,0.512092675178,0.293385485914,hit,1,1,2,0
5.007,0.553229590734,0.44362584364,0.401974384136,0.286232761676,hit,1,1,2,0
5.195,0.537495504021,3.02271411796,0.456893836572,0.253186386112,miss,0,1,2,0
5.627,0.530998030891,0.317593344713,0.457666170073,0.337353915403,hit,1,1,2,0
5.957,0.552184077795,3.08019834919,0.50021401511,0.302789573317,miss,0,1,2,0
6.44,0.569843223374,0.215020650614,0.488598062058,0.333031096638,hit,1,1,2,0
6.703,0.577409521353,3.04400575566,0.530988375529,0.313505541157,miss,0,1,2,0
7.095,0.624276037597,0.351040432598,0.483020703339,0.342616934796,hit,1,1,2,0
7.515,0.664591891993,2.23066537956,0.563094532222,0.271378926974,hit,1,1,2,0
7.765,0.659711345378,0.284292990746,0.485102711776,0.34713943446,hit,1,1,2,0
8.161,0.605241643693,1.97853662108,0.502283281683,0.269052402083,miss,0,1,2,0
8.42,0.615288879916,0.513182206874,0.471135043267,0.309766937193,hit,1,1,2,0
8.799,0.615730232231,2.12893029062,0.601380245751,0.270655198626,hit,1,1,2,0
9.041,0.565943469707,0.655698331827,0.491156107494,0.311633071519,hit,1,1,2,0
9.425,0.603228287482,2.32497798243,0.575216950831,0.277841199471,hit,1,1,2,0
9.693,0.571683165366,0.401166083217,0.451652345231,0.339508708274,hit,1,1,2,0
0.198000000001,0.40950031818,0.765511108567,0.446035423556,0.281252374769,hit,1,0,3,0
0.784000000001,1.98194696986,0.433161365955,0.407450422645,0.313420356059,miss,0,0,3,0
1.036,0.469556905726,0.418648571933,0.433975822979,0.339305752506,hit,1,0,3,0
1.395,1.96776383939,0.396240779034,0.356407804267,0.309458429236,miss,0,0,3,0
1.631,0.506553878426,0.451285983533,0.428726877006,0.350317738751,hit,1,0,3,0
1.991,1.93348128855,0.469598401684,0.385280313109,0.309038037872,miss,0,0,3,0
2.241,0.508084993866,0.486930481561,0.432488433308,0.353181435473,hit,1,0,3,0
2.621,2.13722583616,0.493697618845,0.370230310493,0.297980182937,hit,1,0,3,0
2.886,0.358631584801,0.52302721878,0.440882835139,0.339033855401,hit,1,0,3,0
3.414,2.46809790129,0.49143758331,0.362597263097,0.281262506896,hit,1,0,3,0
3.66,0.327731596819,0.534859630269,0.41572176373,0.315850813728,hit,1,0,3,0
4.098,2.41667090746,0.549561167643,0.345670887065,0.279863866993,hit,1,0,3,0
4.386,0.395559807398,0.581681631901,0.415684216129,0.322332439687,hit,1,0,3,0
4.811,2.53444153,0.609375868224,0.357522356926,0.273697122144,hit,1,0,3,0
5.099,0.479252991984,0.594100265709,0.418324779668,0.330223348082,hit,1,0,3,0
5.509,2.31333239508,0.605281243992,0.367556601984,0.270263101201,hit,1,0,3,0
5.786,0.419002681896,0.630601049188,0.430702245519,0.327007644516,hit,1,0,3,0
6.262,2.68899379008,0.630594711015,0.38496000152,0.285879613852,hit,1,0,3,0
6.553,0.441174066137,0.675847024474,0.482992347312,0.347385948103,hit,1,0,3,0
7.028,2.43804490276,0.666688632866,0.404117570919,0.311651370262,hit,1,0,3,0
7.301,0.363892647464,0.659352546369,0.474435944761,0.355830371216,hit,1,0,3,0
7.714,2.13992171646,0.559081254923,0.374939946616,0.315339084018,hit,1,0,3,0
7.97,0.418135853259,0.631169342317,0.453792705389,0.363650917693,hit,1,0,3,0
