trial_time,force_0,force_1,force_2,force_3,press_type,score,target_finger,trial,run
0.383,0.442325340102,0.470869946929,0.424607221862,0.301553170945,hit,1,2,0,0
1.326,0.385094656479,0.423782336779,2.23482365211,0.241369426892,hit,1,2,0,0
1.921,0.487131095196,0.390809007107,0.416359644123,0.333992003784,hit,1,2,0,0
2.597,0.37930914987,0.438040804619,2.44701788818,0.256081460346,hit,1,2,0,0
3.094,0.480652409789,0.42319212729,0.54316356619,0.339403262554,hit,1,2,0,0
3.836,0.399062482214,0.475413306003,1.99744012145,0.277246674109,miss,0,2,0,0
4.412,0.46400114586,0.387229284794,0.721932235436,0.325523217355,hit,1,2,0,0
4.963,0.381047445586,0.508662188665,2.0742156745,0.278008050734,hit,1,2,0,0
5.577,0.448647079506,0.438035725541,0.800875607161,0.31914674219,hit,1,2,0,0
6.3,0.351675499922,0.505867938918,2.77054521597,0.283715177126,hit,1,2,0,0
6.718,0.452372996749,0.423158595961,1.01880779111,0.3105595227,hit,1,2,0,0
7.276,0.380720525975,0.515770134526,2.25062342415,0.280587363966,hit,1,2,0,0
7.767,0.448950010269,0.417135973573,0.709163995577,0.332427251805,hit,1,2,0,0
8.576,0.355474067914,0.543858413956,2.12965630725,0.293657485705,hit,1,2,0,0
8.941,0.450189516747,0.40500642311,0.868616786093,0.327968419693,hit,1,2,0,0
9.283,0.366480604517,0.475627021756,3.00788436659,0.297297779104,miss,0,2,0,0
0.355,0.369066729124,0.345529023783,0.444195207069,0.565452519236,hit,1,3,1,0
1.257,0.287777565807,0.217013048343,0.467066423869,1.99803031989,miss,0,3,1,0
1.797,0.341532728732,0.279281830735,0.390971571854,1.07437411371,hit,1,3,1,0
2.949,0.289907763787,0.178671923987,0.409210490834,2.23941306079,off,0,3,1,0
3.342,0.345423538517,0.273798503272,0.320412502338,0.957751012388,hit,1,3,1,0
4.015,0.298086769301,0.18292643879,0.301385070719,2.25052206353,off,0,3,1,0
4.523,0.379611502846,0.291925894316,0.244358207832,1.12300976956,hit,1,3,1,0
5.245,0.340021609846,0.215577718416,0.332198572374,2.21802807279,hit,1,3,1,0
6.174,0.39315625733,0.315075418417,0.254289513555,1.18443877985,hit,1,3,1,0
6.826,0.374502538365,0.246339086996,0.304158429481,2.07704478149,hit,1,3,1,0
7.489,0.422256132363,0.334251861522,0.228464098921,1.12275094598,hit,1,3,1,0
8.056,0.38199833811,0.263199383466,0.311561104738,2.01842857635,hit,1,3,1,0
