trial_time,force_0,force_1,force_2,force_3,press_type,score,target_finger,trial,run
0.0240000000001,0.0719792596583,0.432273061555,1.21009273023,0.223705314243,miss,0,2,0,0
1.039,0.108776869554,0.286937429796,2.73544450399,0.081288197662,off,0,2,0,0
1.499,0.0724050111619,0.39315144523,0.605592132378,0.125765849353,off,0,2,0,0
2.062,0.334385298707,0.154326205787,3.05367485617,0.728048829769,miss,0,2,0,0
2.683,0.220164202379,0.331039844419,0.482160702183,0.276569733101,hit,1,2,0,0
3.392,0.228964567709,0.538181614595,1.97799340939,0.121003508582,miss,0,2,0,0
3.639,0.675190197331,0.587311202543,1.24831150093,0.340071754655,miss,0,2,0,0
3.942,0.258840512096,0.477348523253,2.39298985997,0.258212532799,hit,1,2,0,0
4.26,0.26825034932,0.539913761488,0.979560602304,0.331611162025,hit,1,2,0,0
4.937,0.189990699945,0.476975416017,2.46461674692,0.174356686061,off,0,2,0,0
5.325,0.214779204008,0.511238117883,0.571202059331,0.285292054097,hit,1,2,0,0
5.901,0.159939474209,0.328135195386,2.43197564264,0.181345185506,off,0,2,0,0
6.275,0.203509619277,0.418207330481,0.846691436409,0.325053409714,hit,1,2,0,0
7.261,0.298322245245,0.572431199712,2.33307639004,0.427658142715,hit,1,2,0,0
7.858,0.239611942144,0.56461153146,0.485635158665,0.505491034229,hit,1,2,0,0
8.269,0.215847554781,0.606626174623,2.72180869039,0.288795790321,hit,1,2,0,0
8.688,0.239662263348,0.562721829986,0.729107074438,0.504702631133,hit,1,2,0,0
9.118,0.233126848448,0.720974026272,2.79001421325,0.329570047236,hit,1,2,0,0
9.497,0.272671484744,0.565407971843,0.463841132418,0.50296346641,hit,1,2,0,0
9.935,0.254102663381,0.692991709485,2.70989623393,0.347545042261,hit,1,2,0,0
0.169,0.131393369256,0.366403172711,0.752051439327,1.22031903487,miss,0,3,1,0
1.114,0.279067147478,0.341920412609,0.13926852697,2.71611719472,off,0,3,1,0
1.641,0.209110682713,0.381931440404,0.300479561292,0.577027744411,hit,1,3,1,0
2.526,0.204555549969,0.389104210559,0.179812753946,2.36003995014,off,0,3,1,0
3.058,0.218489054011,0.403581555886,0.204396045686,0.64429937675,hit,1,3,1,0
3.394,0.210919188805,0.328698427336,0.451322663204,1.9815107457,miss,0,3,1,0
