finger_pair_code,left_finger,right_finger,timing,judgment,accuracy,trial,run
1,1,2,-0.12,1,0,0,0
1,1,2,0.03,-1,0,1,0
1,1,2,0.07,1,1,2,0
1,1,2,-0.4,-1,1,3,0
1,1,2,0.4,1,1,4,0
1,1,2,0.12,1,1,5,0
1,1,2,0.25,-1,0,6,0
1,1,2,-0.18,-1,1,7,0
1,1,2,-0.07,1,0,8,0
1,1,2,-0.03,1,0,9,0
1,1,2,-0.25,-1,1,10,0
1,1,2,0.18,1,1,11,0
1,1,2,0.03,1,1,12,0
1,1,2,0.12,1,1,13,0
1,1,2,0.07,-1,0,14,0
1,1,2,-0.18,1,0,15,0
1,1,2,-0.25,1,0,16,0
1,1,2,-0.4,1,0,17,0
1,1,2,0.4,-1,0,18,0
1,1,2,0.25,1,1,19,0
1,1,2,0.18,1,1,20,0
1,1,2,-0.12,1,0,21,0
1,1,2,-0.03,-1,1,22,0
1,1,2,-0.07,1,0,23,0
1,1,2,0.03,1,1,24,0
1,1,2,0.25,-1,0,25,0
1,1,2,-0.4,1,0,26,0
1,1,2,0.07,1,1,27,0
1,1,2,-0.18,1,0,28,0
1,1,2,-0.12,-1,1,29,0
1,1,2,0.4,-1,0,30,0
1,1,2,-0.25,1,0,31,0
1,1,2,0.18,1,1,32,0
1,1,2,0.12,1,1,33,0
1,1,2,-0.03,-1,1,34,0
1,1,2,-0.07,-1,1,35,0
1,1,2,0.03,-1,0,36,0
1,1,2,-0.12,-1,1,37,0
1,1,2,-0.03,1,0,38,0
1,1,2,-0.4,1,0,39,0
1,1,2,-0.07,-1,1,40,0
1,1,2,-0.18,1,0,41,0
1,1,2,0.18,1,1,42,0
1,1,2,-0.25,-1,1,43,0
1,1,2,0.25,1,1,44,0
1,1,2,0.4,1,1,45,0
1,1,2,0.12,-1,0,46,0
1,1,2,0.07,1,1,47,0
1,1,2,0.07,-1,0,48,0
1,1,2,-0.07,-1,1,49,0
1,1,2,0.12,-1,0,50,0
1,1,2,-0.4,1,0,51,0
1,1,2,-0.18,-1,1,52,0
1,1,2,0.03,-1,0,53,0
1,1,2,-0.03,1,0,54,0
1,1,2,-0.12,-1,1,55,0
1,1,2,0.4,-1,0,56,0
1,1,2,0.25,1,1,57,0
1,1,2,-0.25,-1,1,58,0
1,1,2,0.18,-1,0,59,0
1,1,2,-0.25,1,0,60,0
1,1,2,0.12,1,1,61,0
1,1,2,0.18,1,1,62,0
1,1,2,-0.4,-1,1,63,0
1,1,2,-0.03,-1,1,64,0
1,1,2,0.03,-1,0,65,0
1,1,2,0.25,1,1,66,0
1,1,2,0.4,-1,0,67,0
1,1,2,0.07,1,1,68,0
1,1,2,-0.18,-1,1,69,0
1,1,2,-0.07,1,0,70,0
1,1,2,-0.12,-1,1,71,0
1,1,2,0.12,-1,0,72,0
1,1,2,-0.4,1,0,73,0
1,1,2,-0.07,-1,1,74,0
1,1,2,-0.03,-1,1,75,0
1,1,2,-0.18,1,0,76,0
1,1,2,-0.25,1,0,77,0
1,1,2,0.03,1,1,78,0
1,1,2,0.4,-1,0,79,0
1,1,2,0.07,-1,0,80,0
1,1,2,-0.12,-1,1,81,0
1,1,2,0.25,1,1,82,0
1,1,2,0.18,1,1,83,0
1,1,2,-0.25,-1,1,84,0
1,1,2,0.25,1,1,85,0
1,1,2,-0.03,-1,1,86,0
1,1,2,0.07,-1,0,87,0
1,1,2,-0.07,1,0,88,0
1,1,2,0.18,-1,0,89,0
1,1,2,-0.18,-1,1,90,0
1,1,2,0.4,-1,0,91,0
1,1,2,-0.4,1,0,92,0
1,1,2,-0.12,-1,1,93,0
1,1,2,0.03,1,1,94,0
1,1,2,0.12,-1,0,95,0
1,1,2,0.12,1,1,96,0
1,1,2,-0.12,-1,1,97,0
1,1,2,-0.18,1,0,98,0
1,1,2,-0.07,-1,1,99,0
1,1,2,0.4,1,1,100,0
1,1,2,0.07,1,1,101,0
1,1,2,0.03,1,1,102,0
1,1,2,-0.25,1,0,103,0
1,1,2,0.18,1,1,104,0
1,1,2,-0.4,1,0,105,0
1,1,2,-0.03,-1,1,106,0
1,1,2,0.25,1,1,107,0
1,1,2,0.4,1,1,108,0
1,1,2,-0.03,1,0,109,0
1,1,2,-0.25,1,0,110,0
1,1,2,0.03,1,1,111,0
1,1,2,0.18,1,1,112,0
1,1,2,0.12,1,1,113,0
1,1,2,-0.4,1,0,114,0
1,1,2,0.07,-1,0,115,0
1,1,2,-0.18,1,0,116,0
1,1,2,-0.12,-1,1,117,0
1,1,2,0.25,1,1,118,0
1,1,2,-0.07,-1,1,119,0
0,0,1,-0.18,-1,1,120,1
0,0,1,0.12,1,1,121,1
0,0,1,0.03,1,1,122,1
0,0,1,0.25,1,1,123,1
0,0,1,0.18,1,1,124,1
0,0,1,0.07,1,1,125,1
0,0,1,-0.03,1,0,126,1
0,0,1,-0.4,1,0,127,1
0,0,1,-0.25,1,0,128,1
0,0,1,-0.07,1,0,129,1
0,0,1,0.4,1,1,130,1
0,0,1,-0.12,1,0,131,1
0,0,1,-0.12,1,0,132,1
0,0,1,0.12,1,1,133,1
0,0,1,-0.4,1,0,134,1
0,0,1,0.25,1,1,135,1
0,0,1,0.03,1,1,136,1
0,0,1,0.4,-1,0,137,1
0,0,1,-0.03,1,0,138,1
0,0,1,-0.25,1,0,139,1
0,0,1,0.18,1,1,140,1
0,0,1,-0.18,1,0,141,1
0,0,1,-0.07,1,0,142,1
0,0,1,0.07,1,1,143,1
0,0,1,0.18,1,1,144,1
0,0,1,0.03,1,1,145,1
0,0,1,-0.07,1,0,146,1
0,0,1,0.12,1,1,147,1
0,0,1,0.07,1,1,148,1
0,0,1,-0.18,1,0,149,1
0,0,1,-0.25,1,0,150,1
0,0,1,0.4,1,1,151,1
0,0,1,-0.12,1,0,152,1
0,0,1,-0.03,1,0,153,1
0,0,1,-0.4,1,0,154,1
0,0,1,0.25,1,1,155,1
0,0,1,0.07,1,1,156,1
0,0,1,0.12,1,1,157,1
0,0,1,-0.07,1,0,158,1
0,0,1,-0.25,1,0,159,1
0,0,1,0.4,1,1,160,1
0,0,1,-0.03,1,0,161,1
0,0,1,-0.4,1,0,162,1
0,0,1,0.18,1,1,163,1
0,0,1,-0.12,1,0,164,1
0,0,1,0.03,1,1,165,1
0,0,1,-0.18,1,0,166,1
0,0,1,0.25,1,1,167,1
0,0,1,-0.07,1,0,168,1
0,0,1,-0.25,1,0,169,1
0,0,1,0.07,1,1,170,1
0,0,1,0.4,1,1,171,1
0,0,1,0.03,1,1,172,1
0,0,1,0.18,1,1,173,1
0,0,1,-0.4,1,0,174,1
0,0,1,-0.18,1,0,175,1
0,0,1,0.12,1,1,176,1
