finger_pair_code,left_finger,right_finger,timing,judgment,accuracy,trial,run
1,1,2,-0.12,-1,1,0,0
1,1,2,0.03,1,1,1,0
1,1,2,0.07,1,1,2,0
1,1,2,-0.4,-1,1,3,0
1,1,2,0.4,1,1,4,0
1,1,2,0.12,1,1,5,0
1,1,2,0.25,1,1,6,0
1,1,2,-0.18,1,0,7,0
1,1,2,-0.07,-1,1,8,0
1,1,2,-0.03,-1,1,9,0
1,1,2,-0.25,-1,1,10,0
1,1,2,0.18,1,1,11,0
1,1,2,0.03,1,1,12,0
1,1,2,0.12,1,1,13,0
1,1,2,0.07,-1,0,14,0
1,1,2,-0.18,-1,1,15,0
1,1,2,-0.25,-1,1,16,0
1,1,2,-0.4,-1,1,17,0
1,1,2,0.4,1,1,18,0
1,1,2,0.25,1,1,19,0
1,1,2,0.18,1,1,20,0
1,1,2,-0.12,-1,1,21,0
1,1,2,-0.03,1,0,22,0
1,1,2,-0.07,1,0,23,0
1,1,2,0.03,1,1,24,0
1,1,2,0.25,1,1,25,0
1,1,2,-0.4,-1,1,26,0
1,1,2,0.07,1,1,27,0
1,1,2,-0.18,-1,1,28,0
1,1,2,-0.12,-1,1,29,0
1,1,2,0.4,1,1,30,0
1,1,2,-0.25,-1,1,31,0
1,1,2,0.18,1,1,32,0
1,1,2,0.12,1,1,33,0
1,1,2,-0.03,-1,1,34,0
1,1,2,-0.07,-1,1,35,0
1,1,2,0.03,1,1,36,0
1,1,2,-0.12,1,0,37,0
1,1,2,-0.03,1,0,38,0
1,1,2,-0.4,-1,1,39,0
1,1,2,-0.07,1,0,40,0
1,1,2,-0.18,-1,1,41,0
1,1,2,0.18,1,1,42,0
1,1,2,-0.25,-1,1,43,0
1,1,2,0.25,1,1,44,0
1,1,2,0.4,1,1,45,0
1,1,2,0.12,1,1,46,0
1,1,2,0.07,1,1,47,0
1,1,2,0.07,1,1,48,0
1,1,2,-0.07,-1,1,49,0
1,1,2,0.12,1,1,50,0
1,1,2,-0.4,-1,1,51,0
1,1,2,-0.18,-1,1,52,0
