probe,press,accuracy,rt,threshold,score,run_num
0,0,1,0.666616201401,0.45,-1,0
3,3,1,0.516996145248,0.45,-1,0
2,2,1,0.456431865692,0.45,-1,0
1,1,1,0.465546131134,0.45,-1,0
3,3,1,0.407082080841,0.45,1,0
1,-1,0,0.7,0.45,-2,0
2,1,0,0.0593600273132,0.45,-2,0
3,3,1,0.389468193054,0.45,1,0
0,0,1,0.377824068069,0.45,1,0
1,1,1,0.403770208359,0.45,1,0
0,0,1,0.351688861847,0.45,1,0
2,2,1,0.514823198318,0.45,-1,0
0,0,1,0.453022956848,0.45,-1,0
3,3,1,0.408161878586,0.45,1,0
2,2,1,0.445735931396,0.45,1,0
1,1,1,0.463761806488,0.45,-1,0
3,3,1,0.451354980469,0.45,-1,0
1,0,0,0.591442108154,0.45,-2,0
2,1,0,0.0588328838348,0.45,-2,0
3,3,1,0.447815895081,0.45,1,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
