probe,press,accuracy,rt,threshold,score,run_num
2,-1,0,0.7,0.45,-2,0
3,2,0,0.220508098602,0.45,-2,0
0,0,1,0.335402965546,0.45,1,0
1,1,1,0.385009050369,0.45,1,0
3,3,1,0.339161872864,0.45,1,0
1,1,1,0.375832080841,0.45,1,0
0,0,1,0.330586910248,0.45,1,0
3,3,1,0.32740187645,0.45,1,0
2,2,1,0.375170946121,0.45,1,0
0,0,1,0.323096036911,0.45,1,0
2,2,1,0.368484020233,0.45,1,0
1,1,1,0.404680967331,0.45,1,0
2,2,1,0.41273188591,0.45,1,0
1,0,0,0.39457988739,0.45,-2,0
3,2,0,0.477127075195,0.45,-2,0
0,0,1,0.463785886765,0.45,-1,0
1,2,0,0.475834846497,0.45,-2,0
0,0,1,0.488389968872,0.45,-1,0
3,3,1,0.455694913864,0.45,-1,0
2,2,1,0.493623971939,0.45,-1,0
0,0,1,0.433830976486,0.45,1,0
2,2,1,0.476263999939,0.45,-1,0
3,3,1,0.437679052353,0.45,1,0
1,1,1,0.387299060822,0.45,1,0
2,2,1,0.531524896622,0.45,-1,0
0,0,1,0.465723991394,0.45,-1,0
1,1,1,0.434444189072,0.45,1,0
3,3,1,0.320385217667,0.45,1,0
1,1,1,0.345604896545,0.45,1,0
0,0,1,0.30991101265,0.45,1,0
3,3,1,0.42330789566,0.45,1,0
0,0,1,0.437044858932,0.45,1,0
2,2,1,0.397380113602,0.45,1,0
1,1,1,0.424515962601,0.45,1,0
2,2,1,0.431821107864,0.45,1,0
3,3,1,0.343163013458,0.45,1,0
2,2,1,0.372455835342,0.45,1,0
0,0,1,0.308972835541,0.45,1,0
3,3,1,0.336216926575,0.45,1,0
1,1,1,0.374727964401,0.45,1,0
0,0,1,0.352205991745,0.45,1,0
1,1,1,0.459489822388,0.45,-1,0
3,3,1,0.405465126038,0.45,1,0
2,2,1,0.529500961304,0.45,-1,0
1,2,0,0.509859800339,0.45,-2,0
2,2,1,0.634204149246,0.45,-1,0
3,3,1,0.483422040939,0.45,-1,0
0,0,1,0.359733104706,0.45,1,0
2,2,1,0.381469011307,0.45,1,0
0,0,1,0.421659946442,0.45,1,0
1,1,1,0.529900789261,0.45,-1,0
3,3,1,0.58922290802,0.45,-1,0
1,1,1,0.534701108932,0.45,-1,0
0,0,1,0.484324216843,0.45,-1,0
3,3,1,0.492388010025,0.45,-1,0
2,2,1,0.46725320816,0.45,-1,0
3,3,1,0.470952987671,0.45,-1,0
0,0,1,0.407511949539,0.45,1,0
2,2,1,0.348530054092,0.45,1,0
1,1,1,0.42519402504,0.45,1,0
2,1,0,0.439987897873,0.45,-2,0
0,0,1,0.486047029495,0.45,-1,0
3,3,1,0.426261901855,0.45,1,0
1,1,1,0.357857942581,0.45,1,0
3,3,1,0.445580005646,0.45,1,0
0,0,1,0.346782922745,0.45,1,0
1,1,1,0.464229106903,0.45,-1,0
0,0,1,0.505066871643,0.45,-1,0
2,2,1,0.501924991608,0.45,-1,0
3,3,1,0.497097969055,0.45,-1,0
2,2,1,0.460927963257,0.45,-1,0
1,1,1,0.373332977295,0.45,1,0
2,2,1,0.482553005219,0.45,-1,0
3,3,1,0.526827096939,0.45,-1,0
1,1,1,0.463057994843,0.45,-1,0
0,0,1,0.372517108917,0.45,1,0
1,1,1,0.38981294632,0.45,1,0
3,3,1,0.432787179947,0.45,1,0
0,0,1,0.430265903473,0.45,1,0
2,2,1,0.43896985054,0.45,1,0
1,1,1,0.477787017822,0.45,-1,0
2,2,1,0.398761034012,0.45,1,0
0,0,1,0.383546113968,0.45,1,0
3,3,1,0.306965112686,0.45,1,0
2,2,1,0.311635971069,0.45,1,0
3,3,1,0.428975105286,0.45,1,0
0,0,1,0.374548912048,0.45,1,0
1,1,1,0.385504961014,0.45,1,0
3,3,1,0.397303104401,0.45,1,0
1,1,1,0.547147989273,0.45,-1,0
0,0,1,0.460452079773,0.45,-1,0
2,2,1,0.550199985504,0.45,-1,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.0544450283051,0.45,-2,0
2,2,1,0.427427053452,0.45,1,0
1,1,1,0.393991947174,0.45,1,0
2,2,1,0.422824144363,0.45,1,0
1,1,1,0.500174999237,0.45,-1,0
0,0,1,0.422809839249,0.45,1,0
3,3,1,0.547080993652,0.45,-1,0
0,0,1,0.645606994629,0.45,-1,0
1,1,1,0.568928003311,0.45,-1,0
3,3,1,0.579316854477,0.45,-1,0
1,1,1,0.468183994293,0.45,-1,0
2,2,1,0.418290138245,0.45,1,0
0,0,1,0.388804912567,0.45,1,0
2,2,1,0.417272090912,0.45,1,0
3,3,1,0.433958053589,0.45,1,0
2,1,0,0.364776134491,0.45,-2,0
0,0,1,0.594076871872,0.45,-1,0
3,3,1,0.467846155167,0.45,-1,0
1,-1,0,0.7,0.45,-2,0
0,0,1,0.532346010208,0.45,-1,0
1,1,1,0.505172967911,0.45,-1,0
3,3,1,0.363451004028,0.45,1,0
2,2,1,0.461957931519,0.45,-1,0
1,1,1,0.439694166183,0.45,1,0
2,2,1,0.450212955475,0.45,-1,0
3,3,1,0.454324007034,0.45,-1,0
0,0,1,0.395905017853,0.45,1,0
2,2,1,0.356261014938,0.45,1,0
1,1,1,0.42510008812,0.45,1,0
0,0,1,0.45124912262,0.45,-1,0
3,3,1,0.366039991379,0.45,1,0
1,1,1,0.477019071579,0.45,-1,0
3,3,1,0.41264295578,0.45,1,0
0,0,1,0.441056966782,0.45,1,0
2,2,1,0.38850903511,0.45,1,0
3,3,1,0.432126998901,0.45,1,0
2,3,0,0.425859928131,0.45,-2,0
0,1,0,0.543728113174,0.45,-2,0
1,0,0,0.64271402359,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,2,0,0.21647310257,0.45,-2,0
0,0,1,0.386919021606,0.45,1,0
1,1,1,0.508372068405,0.45,-1,0
0,0,1,0.67361497879,0.45,-1,0
3,3,1,0.462862014771,0.45,-1,0
1,1,1,0.551684856415,0.45,-1,0
3,3,1,0.669282913208,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,2,1,0.509577989578,0.45,-1,0
0,0,1,0.425940990448,0.45,1,0
2,2,1,0.379899978638,0.45,1,0
3,3,1,0.318624019623,0.45,1,0
1,1,1,0.480750083923,0.45,-1,0
0,0,1,0.447296857834,0.45,1,0
1,1,1,0.473479032516,0.45,-1,0
3,3,1,0.372845172882,0.45,1,0
0,0,1,0.373510122299,0.45,1,0
3,3,1,0.330279111862,0.45,1,0
2,2,1,0.667942047119,0.45,-1,0
1,1,1,0.424784898758,0.45,1,0
2,2,1,0.429383993149,0.45,1,0
0,0,1,0.423049926758,0.45,1,0
2,2,1,0.396689891815,0.45,1,0
1,1,1,0.472194910049,0.45,-1,0
0,0,1,0.520512104034,0.45,-1,0
3,3,1,0.411635160446,0.45,1,0
1,1,1,0.386070966721,0.45,1,0
3,3,1,0.387758016586,0.45,1,0
0,0,1,0.29553604126,0.45,1,0
2,2,1,0.353986024857,0.45,1,0
0,0,1,0.383237123489,0.45,1,0
1,2,0,0.433717012405,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,2,0,0.0625739097595,0.45,-2,0
2,1,0,0.456473112106,0.45,-2,0
0,0,1,0.477140903473,0.45,-1,0
3,3,1,0.505638122559,0.45,-1,0
1,1,1,0.50713300705,0.45,-1,0
0,-1,0,0.7,0.45,-2,0
1,0,0,0.112875938416,0.45,-2,0
3,3,1,0.436846971512,0.45,1,0
2,2,1,0.433269023895,0.45,1,0
1,1,1,0.347093105316,0.45,1,0
2,2,1,0.528222084045,0.45,-1,0
3,3,1,0.540721893311,0.45,-1,0
0,0,1,0.351113080978,0.45,1,0
2,2,1,0.475529909134,0.45,-1,0
0,0,1,0.405146121979,0.45,1,0
3,3,1,0.542121171951,0.45,-1,0
1,1,1,0.53061580658,0.45,-1,0
0,0,1,0.46456694603,0.45,-1,0
1,1,1,0.674760103226,0.45,-1,0
3,3,1,0.557465791702,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
1,2,0,0.0212020874023,0.45,-2,0
2,2,1,0.477068901062,0.45,-1,0
3,3,1,0.408640146255,0.45,1,0
0,0,1,0.334740877151,0.45,1,0
2,2,1,0.423538923264,0.45,1,0
0,0,1,0.603144884109,0.45,-1,0
3,3,1,0.477540016174,0.45,-1,0
1,1,1,0.385241031647,0.45,1,0
3,3,1,0.516913890839,0.45,-1,0
0,0,1,0.461213827133,0.45,-1,0
1,1,1,0.580409049988,0.45,-1,0
0,0,1,0.60707116127,0.45,-1,0
2,3,0,0.410102128983,0.45,-2,0
3,3,1,0.544192075729,0.45,-1,0
2,2,1,0.530117988586,0.45,-1,0
1,1,1,0.421557188034,0.45,1,0
2,2,1,0.616443872452,0.45,-1,0
3,3,1,0.513695001602,0.45,-1,0
0,0,1,0.527946949005,0.45,-1,0
1,1,1,0.467028856277,0.45,-1,0
0,0,1,0.634634971619,0.45,-1,0
3,3,1,0.542833089828,0.45,-1,0
1,1,1,0.545850992203,0.45,-1,0
3,3,1,0.446870088577,0.45,1,0
2,2,1,0.507973909378,0.45,-1,0
1,1,1,0.445497989655,0.45,1,0
2,2,1,0.497648954391,0.45,-1,0
0,0,1,0.426769018173,0.45,1,0
2,2,1,0.365207195282,0.45,1,0
3,1,0,0.0180170536041,0.45,-2,1
0,2,0,0.113830089569,0.45,-2,1
2,2,1,0.360636949539,0.45,1,1
1,1,1,0.336585044861,0.45,1,1
2,2,1,0.388064146042,0.45,1,1
0,0,1,0.376915216446,0.45,1,1
1,1,1,0.411550998688,0.45,1,1
3,3,1,0.480432987213,0.45,-1,1
2,2,1,0.450099945068,0.45,-1,1
3,3,1,0.550885915756,0.45,-1,1
1,-1,0,0.7,0.45,-2,1
0,0,1,0.396985054016,0.45,1,1
3,2,0,0.416281938553,0.45,-2,1
0,0,1,0.608941078186,0.45,-1,1
1,-1,0,0.7,0.45,-2,1
2,2,1,0.0426261425018,0.45,1,1
0,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
1,1,1,0.562599182129,0.45,-1,1
0,0,1,0.493783950806,0.45,-1,1
3,3,1,0.450303077698,0.45,-1,1
1,0,0,0.438163995743,0.45,-2,1
3,2,0,0.47379899025,0.45,-2,1
2,2,1,0.572047948837,0.45,-1,1
3,3,1,0.53358912468,0.45,-1,1
2,2,1,0.505714893341,0.45,-1,1
1,1,1,0.419289112091,0.45,1,1
0,0,1,0.350553035736,0.45,1,1
2,2,1,0.388597011566,0.45,1,1
0,0,1,0.468434095383,0.45,-1,1
1,1,1,0.473633050919,0.45,-1,1
3,3,1,0.579870939255,0.45,-1,1
0,0,1,0.583473920822,0.45,-1,1
3,3,1,0.660611867905,0.45,-1,1
1,1,1,0.469223976135,0.45,-1,1
2,2,1,0.434715986252,0.45,1,1
3,3,1,0.523212909698,0.45,-1,1
1,1,1,0.682267904282,0.45,-1,1
0,0,1,0.612020015717,0.45,-1,1
2,2,1,0.583822011948,0.45,-1,1
1,1,1,0.59564614296,0.45,-1,1
2,2,1,0.451226949692,0.45,-1,1
0,0,1,0.470730781555,0.45,-1,1
3,3,1,0.363209962845,0.45,1,1
2,2,1,0.36910200119,0.45,1,1
3,3,1,0.532582044601,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
1,0,0,0.191260814667,0.45,-2,1
3,3,1,0.380227804184,0.45,1,1
1,1,1,0.590353012085,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
2,0,0,0.0386741161346,0.45,-2,1
0,0,1,0.464318990707,0.45,-1,1
1,0,0,0.501800060272,0.45,-2,1
2,1,0,0.423297166824,0.45,-2,1
1,1,1,0.483592033386,0.45,-1,1
