probe,press,accuracy,rt,threshold,score,run_num
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,2,0,0.155879974365,0.45,-2,0
3,3,1,0.504789829254,0.45,-1,0
1,1,1,0.443049907684,0.45,1,0
2,2,1,0.526631116867,0.45,-1,0
3,2,0,0.554536104202,0.45,-2,0
0,0,1,0.515897989273,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
2,2,1,0.523504972458,0.45,-1,0
0,0,1,0.628580093384,0.45,-1,0
1,1,1,0.544106006622,0.45,-1,0
0,0,1,0.586813926697,0.45,-1,0
2,2,1,0.528069972992,0.45,-1,0
3,3,1,0.604470968246,0.45,-1,0
1,-1,0,0.7,0.45,-2,0
2,1,0,0.0420989990234,0.45,-2,0
1,1,1,0.595475196838,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
0,3,0,0.513111114502,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,1,0,0.365596055984,0.45,-2,0
2,2,1,0.664614915848,0.45,-1,0
3,3,1,0.682649850845,0.45,-1,0
1,-1,0,0.7,0.45,-2,0
2,1,0,0.159778118134,0.45,-2,0
1,1,1,0.522425889969,0.45,-1,0
3,3,1,0.662863969803,0.45,-1,0
0,0,1,0.559937953949,0.45,-1,0
1,1,1,0.597910165787,0.45,-1,0
0,-1,0,0.7,0.45,-2,0
3,3,1,0.515210866928,0.45,-1,0
2,1,0,0.589674949646,0.45,-2,0
0,0,1,0.56402182579,0.45,-1,0
3,3,1,0.572004079819,0.45,-1,0
1,-1,0,0.7,0.45,-2,0
2,1,0,0.00423717498779,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,2,1,0.595993041992,0.45,-1,0
1,1,1,0.492483854294,0.45,-1,0
3,3,1,0.559906005859,0.45,-1,0
0,-1,0,0.7,0.45,-2,0
1,0,0,0.18208193779,0.45,-2,0
0,0,1,0.578246116638,0.45,-1,0
2,2,1,0.542565822601,0.45,-1,0
0,0,1,0.503205060959,0.45,-1,0
3,2,0,0.366712093353,0.45,-2,0
1,0,0,0.471994161606,0.45,-2,0
2,2,1,0.609802961349,0.45,-1,0
3,3,1,0.533827066422,0.45,-1,0
2,2,1,0.561491966248,0.45,-1,0
1,1,1,0.428423166275,0.45,1,0
0,0,1,0.424218893051,0.45,1,0
1,1,1,0.612855911255,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
0,3,0,0.0338838100433,0.45,-2,0
2,2,1,0.659095048904,0.45,-1,0
0,0,1,0.593878984451,0.45,-1,0
1,1,1,0.565425872803,0.45,-1,0
2,2,1,0.462300777435,0.45,-1,0
3,3,1,0.434201002121,0.45,1,0
2,-1,0,0.7,0.45,-2,0
1,1,1,0.0964910984039,0.45,1,0
3,3,1,0.643138170242,0.45,-1,0
0,0,1,0.624382972717,0.45,-1,0
2,2,1,0.649167060852,0.45,-1,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.0554218292236,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,1,0,0.0156269073486,0.45,-2,0
2,2,1,0.61823797226,0.45,-1,0
1,-1,0,0.7,0.45,-2,0
3,1,0,0.0164089202881,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
3,2,0,0.00836896896362,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.371258020401,0.45,-2,0
2,2,1,0.606920003891,0.45,-1,0
1,1,1,0.641825914383,0.45,-1,0
3,3,1,0.587957143784,0.45,-1,0
1,1,1,0.520611047745,0.45,-1,0
2,2,1,0.522514104843,0.45,-1,0
0,0,1,0.494430065155,0.45,-1,0
2,1,0,0.578774929047,0.45,-2,0
3,3,1,0.653703927994,0.45,-1,0
0,0,1,0.662750959396,0.45,-1,0
1,-1,0,0.7,0.45,-2,0
0,1,0,0.0062620639801,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,1,0,0.062362909317,0.45,-2,0
2,3,0,0.569221973419,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
2,1,0,0.249409914017,0.45,-2,0
1,1,1,0.564975976944,0.45,-1,0
0,0,1,0.501310110092,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
0,3,0,0.0309519767761,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
3,1,0,0.0811190605164,0.45,-2,0
2,2,1,0.529073953629,0.45,-1,0
3,3,1,0.41365814209,0.45,1,0
1,1,1,0.626022100449,0.45,-1,0
2,2,1,0.580379962921,0.45,-1,0
0,0,1,0.512960910797,0.45,-1,0
3,3,1,0.603275060654,0.45,-1,0
0,0,1,0.603822946548,0.45,-1,0
1,1,1,0.567075967789,0.45,-1,0
0,0,1,0.587957143784,0.45,-1,0
3,3,1,0.597877025604,0.45,-1,0
1,1,1,0.626931905746,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
1,2,0,0.0162839889526,0.45,-2,0
3,3,1,0.491545915604,0.45,-1,0
2,2,1,0.52559709549,0.45,-1,0
0,0,1,0.459019899368,0.45,-1,0
2,2,1,0.463443040848,0.45,-1,0
3,3,1,0.402229070663,0.45,1,0
0,0,1,0.451415061951,0.45,-1,0
1,2,0,0.43318104744,0.45,-2,0
0,0,1,0.578096151352,0.45,-1,0
3,3,1,0.583008050919,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
1,1,1,0.478852033615,0.45,-1,0
2,2,1,0.562386035919,0.45,-1,0
3,3,1,0.403574943542,0.45,1,0
1,0,0,0.440781116486,0.45,-2,0
0,0,1,0.513689041138,0.45,-1,0
1,1,1,0.431111097336,0.45,1,0
3,2,0,0.409149885178,0.45,-2,0
0,0,1,0.604830026627,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
0,2,0,0.0437641143799,0.45,-2,0
1,1,1,0.627551078796,0.45,-1,0
3,3,1,0.541937112808,0.45,-1,0
2,2,1,0.660562992096,0.45,-1,0
1,1,1,0.525776863098,0.45,-1,0
2,2,1,0.561815023422,0.45,-1,0
3,3,1,0.487928152084,0.45,-1,0
0,0,1,0.610664129257,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
1,3,0,0.054661989212,0.45,-2,0
0,0,1,0.516830921173,0.45,-1,0
2,2,1,0.471982002258,0.45,-1,0
0,3,0,0.314108848572,0.45,-2,0
3,3,1,0.59801197052,0.45,-1,0
2,1,0,0.429496049881,0.45,-2,0
1,1,1,0.652219057083,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
1,3,0,0.0652861595154,0.45,-2,0
2,2,1,0.382678031921,0.45,1,0
0,0,1,0.504560947418,0.45,-1,0
2,2,1,0.388724088669,0.45,1,0
3,3,1,0.384068012238,0.45,1,0
0,-1,0,0.7,0.45,-2,0
1,1,1,0.11630487442,0.45,1,0
0,2,0,0.424483060837,0.45,-2,0
1,3,0,0.57214307785,0.45,-2,0
3,-1,0,0.7,0.45,-2,0
2,1,0,0.628147125244,0.45,-2,0
1,1,1,0.645395994186,0.45,-1,0
2,2,1,0.633970022202,0.45,-1,0
3,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.106225013733,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
2,2,1,0.66025185585,0.45,-1,0
0,0,1,0.609219074249,0.45,-1,0
2,1,0,0.564809083939,0.45,-2,0
1,2,0,0.487274885178,0.45,-2,0
3,3,1,0.483362913132,0.45,-1,0
2,2,1,0.619976997375,0.45,-1,0
3,2,0,0.590975999832,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,1,0,0.0768489837646,0.45,-2,0
1,2,0,0.497948884964,0.45,-2,0
2,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.0771169662476,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.169560909271,0.45,-2,0
1,2,0,0.500788211823,0.45,-2,0
2,2,1,0.553912162781,0.45,-1,0
1,1,1,0.41181397438,0.45,1,0
3,3,1,0.655735969543,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
3,2,0,0.00455617904663,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
1,0,0,0.197992086411,0.45,-2,0
0,1,0,0.00567078590393,0.45,-2,0
2,2,1,0.513779878616,0.45,-1,0
0,0,1,0.693083047867,0.45,-1,0
1,1,1,0.559224128723,0.45,-1,0
3,3,1,0.595287084579,0.45,-1,0
2,1,0,0.568771123886,0.45,-2,0
1,0,0,0.648764848709,0.45,-2,0
2,2,1,0.596897125244,0.45,-1,0
3,3,1,0.657724142075,0.45,-1,0
0,0,1,0.659019947052,0.45,-1,0
2,2,1,0.5296189785,0.45,-1,0
0,-1,0,0.7,0.45,-2,0
3,0,0,0.0382380485535,0.45,-2,0
1,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,0
0,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
1,2,0,0.128665924072,0.45,-2,1
3,3,1,0.551166057587,0.45,-1,1
1,1,1,0.58998799324,0.45,-1,1
2,1,0,0.497167110443,0.45,-2,1
3,2,0,0.524654865265,0.45,-2,1
0,0,1,0.636610984802,0.45,-1,1
1,-1,0,0.7,0.45,-2,1
0,1,0,0.108775138855,0.45,-2,1
3,3,1,0.674383878708,0.45,-1,1
2,-1,0,0.7,0.45,-2,1
0,2,0,0.148815870285,0.45,-2,1
2,2,1,0.498756170273,0.45,-1,1
3,1,0,0.476883888245,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,1,0,0.156486988068,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
3,3,1,0.538173913956,0.45,-1,1
2,2,1,0.554616928101,0.45,-1,1
0,0,1,0.561331987381,0.45,-1,1
1,1,1,0.524003982544,0.45,-1,1
0,0,1,0.599473953247,0.45,-1,1
2,2,1,0.473503828049,0.45,-1,1
1,1,1,0.436939954758,0.45,1,1
3,3,1,0.449196100235,0.45,1,1
1,1,1,0.617424964905,0.45,-1,1
2,1,0,0.648300886154,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
2,3,0,0.18048787117,0.45,-2,1
0,0,1,0.51216006279,0.45,-1,1
3,2,0,0.602379083633,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,0,0,0.089919090271,0.45,-2,1
0,1,0,0.141461133957,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,1,0,0.0109460353851,0.45,-2,1
2,2,1,0.503736019135,0.45,-1,1
1,1,1,0.496929168701,0.45,-1,1
2,2,1,0.444457054138,0.45,1,1
3,-1,0,0.7,0.45,-2,1
1,3,0,0.0092248916626,0.45,-2,1
0,1,0,0.407263994217,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
3,3,1,0.631067991257,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
3,3,1,0.622412919998,0.45,-1,1
1,-1,0,0.7,0.45,-2,1
2,1,0,0.111044168472,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,1,0,0.0287790298462,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,0,0,0.0807571411133,0.45,-2,1
0,1,0,0.366607904434,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
0,2,0,0.113307952881,0.45,-2,1
1,0,0,0.333841085434,0.45,-2,1
2,1,0,0.505567073822,0.45,-2,1
3,3,1,0.580547094345,0.45,-1,1
2,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
0,1,0,0.412357807159,0.45,-2,1
2,2,1,0.607867002487,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
2,1,0,0.0312111377716,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,3,1,0.669882059097,0.45,-1,1
1,1,1,0.649110078812,0.45,-1,1
2,-1,0,0.7,0.45,-2,1
3,1,0,0.0858991146088,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,1,0,0.106495141983,0.45,-2,1
2,2,1,0.51578783989,0.45,-1,1
0,0,1,0.520984888077,0.45,-1,1
3,3,1,0.65238404274,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
2,0,0,0.283288002014,0.45,-2,1
1,1,1,0.502265930176,0.45,-1,1
0,0,1,0.543529033661,0.45,-1,1
3,2,0,0.547116041183,0.45,-2,1
2,1,0,0.533530950546,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
3,2,0,0.0258111953735,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
0,1,0,0.125077009201,0.45,-2,1
2,2,1,0.611207008362,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
1,1,1,0.639591932297,0.45,-1,1
3,3,1,0.634583950043,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
1,3,0,0.167340040207,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
1,2,0,0.180990219116,0.45,-2,1
3,1,0,0.215196847916,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
0,2,0,0.111890077591,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,0,0,0.18909907341,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
2,0,0,0.225476980209,0.45,-2,1
3,2,0,0.0151710510254,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,2,1,0.0843849182129,0.45,1,1
1,1,1,0.479769945145,0.45,-1,1
3,3,1,0.514987945557,0.45,-1,1
2,1,0,0.533494949341,0.45,-2,1
0,0,1,0.511105060577,0.45,-1,1
1,1,1,0.652649879456,0.45,-1,1
0,-1,0,0.7,0.45,-2,1
3,0,0,0.0419678688049,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
1,1,1,0.63689494133,0.45,-1,1
3,-1,0,0.7,0.45,-2,1
2,3,0,0.049742937088,0.45,-2,1
0,1,0,0.620522975922,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
0,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,0,0,0.156557798386,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
0,3,0,0.171074867249,0.45,-2,1
2,0,0,0.0940399169922,0.45,-2,1
0,0,1,0.463564872742,0.45,-1,1
3,2,0,0.596935987473,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
0,1,0,0.21356010437,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
1,-1,0,0.7,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
0,0,1,0.571501016617,0.45,-1,1
3,2,0,0.557866811752,0.45,-2,1
0,0,1,0.575658082962,0.45,-1,1
2,2,1,0.5150411129,0.45,-1,1
1,1,1,0.518774986267,0.45,-1,1
0,0,1,0.450033903122,0.45,-1,1
1,1,1,0.432222127914,0.45,1,1
3,3,1,0.563225984573,0.45,-1,1
2,1,0,0.637455940247,0.45,-2,1
3,-1,0,0.7,0.45,-2,1
1,3,0,0.237139940262,0.45,-2,1
2,-1,0,0.7,0.45,-2,1
1,2,0,0.0807130336761,0.45,-2,1
0,0,1,0.555792093277,0.45,-1,1
3,-1,0,0.7,0.45,-2,1
0,3,0,0.0338850021362,0.45,-2,1
2,2,1,0.59734582901,0.45,-1,1
0,0,1,0.588347911835,0.45,-1,1
3,3,1,0.540993928909,0.45,-1,1
2,-1,0,0.7,0.45,-2,1
